iter	Passed	Remaining
808	1541	364
809	1543	362
810	1545	360
811	1546	358
812	1548	356
813	1549	354
814	1550	351
815	1551	349
816	1552	347
817	1554	345
818	1555	343
819	1556	341
820	1557	339
821	1558	337
822	1559	335
823	1561	333
824	1563	331
825	1564	329
826	1565	327
827	1566	325
828	1567	323
829	1568	321
830	1569	319
831	1571	317
832	1572	315
833	1573	313
834	1575	311
835	1577	309
836	1579	307
837	1580	305
838	1581	303
839	1582	301
840	1583	299
841	1584	297
842	1586	295
843	1587	293
844	1589	291
845	1592	289
846	1594	288
847	1596	286
848	1599	284
849	1600	282
850	1601	280
851	1602	278
852	1603	276
853	1605	274
854	1607	272
855	1608	270
856	1609	268
857	1610	266
858	1611	264
859	1612	262
860	1613	260
861	1614	258
862	1615	256
863	1617	254
864	1618	252
865	1619	250
866	1621	248
867	1622	246
868	1623	244
869	1624	242
870	1625	240
871	1626	238
872	1626	236
873	1627	234
874	1628	232
875	1629	230
876	1630	228
877	1632	226
878	1633	224
879	1635	222
880	1636	221
881	1637	219
882	1638	217
883	1639	215
884	1640	213
885	1642	211
886	1643	209
887	1644	207
888	1645	205
889	1646	203
890	1647	201
891	1648	199
892	1651	197
893	1652	195
894	1653	193
895	1654	192
896	1655	190
897	1656	188
898	1658	186
899	1659	184
900	1660	182
901	1661	180
902	1663	178
903	1664	176
904	1667	175
905	1669	173
906	1670	171
907	1671	169
908	1672	167
909	1673	165
910	1674	163
911	1675	161
912	1677	159
913	1678	157
914	1683	156
915	1684	154
916	1686	152
917	1687	150
918	1688	148
919	1689	146
920	1691	145
921	1692	143
922	1695	141
923	1698	139
924	1700	137
925	1702	136
926	1703	134
927	1704	132
928	1705	130
929	1706	128
930	1707	126
931	1711	124
932	1713	123
933	1714	121
934	1716	119
935	1717	117
936	1718	115
937	1719	113
938	1720	111
939	1721	109
940	1722	108
941	1725	106
942	1727	104
943	1729	102
944	1730	100
945	1732	98
946	1733	97
947	1735	95
948	1737	93
949	1739	91
950	1741	89
951	1743	87
952	1745	86
953	1747	84
954	1749	82
955	1751	80
956	1753	78
957	1755	76
958	1757	75
959	1759	73
960	1760	71
961	1762	69
962	1763	67
963	1764	65
964	1765	64
965	1766	62
966	1768	60
967	1770	58
968	1772	56
969	1773	54
970	1774	53
971	1776	51
972	1777	49
973	1779	47
974	1780	45
975	1781	43
976	1782	41
977	1784	40
978	1786	38
979	1787	36
980	1789	34
981	1790	32
982	1791	30
983	1792	29
984	1793	27
985	1794	25
986	1795	23
987	1796	21
988	1797	19
989	1798	18
990	1800	16
991	1802	14
992	1803	12
993	1804	10
994	1805	9
995	1806	7
996	1808	5
997	1809	3
998	1810	1
999	1811	0
